ensembl_gene_id,logFC,logCPM,F,PValue,FDR,gene_symbol,cellranger_version,pseudobulk
ENSG00000134531,1.4175583,8.901641273,2984.142873,0,0,EMP1,v3,FALSE
ENSG00000108551,1.394254771,8.658852828,4295.789629,0,0,RASD1,v3,FALSE
ENSG00000086061,1.38959955,9.336533012,3492.644387,0,0,DNAJA1,v3,FALSE
ENSG00000130066,1.359634465,10.8023749,4083.424428,0,0,SAT1,v3,FALSE
ENSG00000144655,1.327132615,8.599563182,5822.174078,0,0,CSRNP1,v3,FALSE
ENSG00000104140,1.325114865,8.824407269,3238.600943,0,0,RHOV,v3,FALSE
ENSG00000146278,1.295147221,9.21888777,3313.588843,0,0,PNRC1,v3,FALSE
ENSG00000137193,1.292661156,8.695870603,3098.237464,0,0,PIM1,v3,FALSE
ENSG00000135046,1.290391309,10.01673998,3005.132724,0,0,ANXA1,v3,FALSE
ENSG00000169908,1.285312908,10.28267166,3941.752415,0,0,TM4SF1,v3,FALSE
ENSG00000118523,1.278363753,9.169925952,1601.671552,0,0,CTGF,v3,FALSE
ENSG00000108106,1.272217245,9.027404199,2398.645795,0,0,UBE2S,v3,FALSE
ENSG00000140403,1.268083663,8.68306365,3118.043081,0,0,DNAJA4,v3,FALSE
ENSG00000165215,1.261535124,9.234720969,7314.103431,0,0,CLDN3,v3,FALSE
ENSG00000013588,1.253347056,8.659246902,3275.329645,0,0,GPRC5A,v3,FALSE
ENSG00000080824,1.24422592,11.71025434,7046.76309,0,0,HSP90AA1,v3,FALSE
ENSG00000196352,1.236601222,8.757525945,2465.725551,0,0,CD55,v3,FALSE
ENSG00000109321,1.229288288,8.600481595,4932.843674,0,0,AREG,v3,FALSE
ENSG00000150991,1.225412245,10.36592492,4984.702613,0,0,UBC,v3,FALSE
ENSG00000115738,1.211792585,9.204557866,2324.669412,0,0,ID2,v3,FALSE
ENSG00000163220,1.19672727,8.951880004,2048.968605,0,0,S100A9,v3,FALSE
ENSG00000181617,1.191663088,12.61972788,1083.107314,1.23E-221,7.17E-220,FDCSP,v3,FALSE
ENSG00000163993,1.176744199,8.725639348,2193.474108,0,0,S100P,v3,FALSE
ENSG00000169242,1.157426914,9.228933085,2691.037907,0,0,EFNA1,v3,FALSE
ENSG00000184588,1.155542595,8.650541686,2611.482907,0,0,PDE4B,v3,FALSE
ENSG00000102786,1.153135782,8.794363176,2232.327368,0,0,INTS6,v3,FALSE
ENSG00000141232,1.149143918,8.722202274,2348.785414,0,0,TOB1,v3,FALSE
ENSG00000111057,1.146336577,9.465461147,3319.556925,0,0,KRT18,v3,FALSE
ENSG00000160789,1.145757959,10.31120621,4505.463857,0,0,LMNA,v3,FALSE
ENSG00000008517,1.140044781,9.137447992,3943.799962,0,0,IL32,v3,FALSE
ENSG00000107968,1.138741826,8.630015683,3431.142125,0,0,MAP3K8,v3,FALSE
ENSG00000245532,1.135021773,10.84263324,3635.524082,0,0,NEAT1,v3,FALSE
ENSG00000171345,1.134257961,10.20713484,4522.610334,0,0,KRT19,v3,FALSE
ENSG00000013441,1.127865917,8.733043332,2297.736556,0,0,CLK1,v3,FALSE
ENSG00000115009,1.12283908,8.589454922,3592.902392,0,0,CCL20,v3,FALSE
ENSG00000051108,1.112770138,9.193280703,1974.556156,0,0,HERPUD1,v3,FALSE
ENSG00000168264,1.106090991,9.027532043,2312.48541,0,0,IRF2BP2,v3,FALSE
ENSG00000086544,1.104052252,8.640066823,2690.502083,0,0,ITPKC,v3,FALSE
