IFN_module
APOBEC3A
CCL2
CCL7
CCL8
CXCL10
CXCL11
CXCL9
DDX58
EIF2AK2
EPSTI1
GBP1
GBP4
HERC5
IDO1
IFI16
IFI35
IFI44
IFI44L
IFI6
IFIH1
IFIT1
IFIT2
IFIT3
IFITM1
IL1RN
IRF7
ISG15
ISG20
LGALS9
LY6E
MT2A
MX1
MX2
NT5C3A
OAS1
OAS2
OAS3
OASL
PLSCR1
RSAD2
SAMD9
SAMD9L
STAT1
TNFSF10
UBE2L6
WARS
XAF1
